description,category
Uber Eats $13,Food
Starbucks coffee,Food
Walmart groceries,Grocery
Amazon order $45,Shopping
Monthly gym membership,Fitness
Netflix subscription,Entertainment
Uber ride to airport,Transport
Rent payment,Utilities
Lunch at Chipotle,Food
Gas station fill-up,Transport
Whole Foods weekly groceries,Grocery
Movie ticket - AMC,Entertainment
Planet Fitness monthly dues,Fitness
Sephora skincare purchase,Shopping
Grubhub dinner $22,Food
Shell gas refill,Transport
Apple Music subscription,Entertainment
Trader Joe's snacks,Grocery
Target clothing haul,Shopping
Yoga class drop-in,Fitness
Comcast internet bill,Utilities
McDonald’s breakfast,Food
Lyft ride downtown,Transport
Costco bulk groceries,Grocery
Best Buy electronics order,Shopping
HBO Max subscription,Entertainment
Domino’s Pizza night,Food
CVS pharmacy refill,Shopping
Monthly electric bill,Utilities
Gym yoga mat purchase,Fitness
Uber ride home,Transport
KFC dinner,Food
Amazon Prime subscription,Entertainment
Walmart toiletries,Shopping
Panera Bread lunch,Food
Shell gas station stop,Transport
Monthly water bill,Utilities
Lululemon leggings,Shopping
Chipotle burrito,Food
Spotify subscription,Entertainment
Instacart groceries,Grocery
Planet Fitness protein bar,Fitness
Gas station stop,Transport
Taco Bell midnight snack,Food
Netflix bill,Entertainment
Staples school supplies,Shopping
Dinner at Olive Garden,Food
Electricity payment,Utilities
H&M hoodie purchase,Shopping
Subway sandwich lunch,Food
Lyft to office,Transport
7-Eleven snacks,Food
Disney+ monthly,Entertainment
Target kitchen items,Shopping
Publix groceries,Grocery
Anytime Fitness access card,Fitness
Bus pass refill,Transport
Burger King combo meal,Food
Monthly rent,Utilities
Amazon accessories,Shopping
Lunch at Five Guys,Food
Shell gas,Transport
Peacock TV subscription,Entertainment
Trader Joe’s frozen meals,Grocery
Gym towel purchase,Fitness
Uber to mall,Transport
Panda Express dinner,Food
Apple iCloud bill,Utilities
Zara jeans,Shopping
Starbucks iced latte,Food
Enterprise car rental,Transport
Walmart household items,Grocery
Crunch Fitness fee,Fitness
Movie on Prime Video,Entertainment
Domino's pizza slice,Food
AT&T phone bill,Utilities
Nike shoes,Shopping
Chick-fil-A nuggets,Food
Gas station full tank,Transport
Aldi groceries,Grocery
Gym locker fee,Fitness
HBO add-on,Entertainment
Taco Bell combo,Food
Rent utilities adjustment,Utilities
Old Navy shirts,Shopping
Breakfast at IHOP,Food
Bus ticket,Transport
Kroger fresh produce,Grocery
Yoga mat cleaner,Fitness
Disney+ movie night,Entertainment
Wendy’s cheeseburger,Food
Internet installation,Utilities
Best Buy USB cable,Shopping
Panera salad,Food
Taxi fare to station,Transport
Sam’s Club monthly stock,Grocery
Gym shower towel,Fitness
Amazon Kindle book,Entertainment
Popeyes chicken meal,Food
Water bill payment,Utilities
Forever 21 hoodie,Shopping
description,category
Lunch at Shake Shack,Food
Lyft from airport,Transport
Whole Foods weekend grocery,Grocery
Fitness gloves,Shopping
Netflix monthly fee,Entertainment
Dinner at Applebee's,Food
Gas refill,Transport
Water bill charge,Utilities
Zara summer dress,Shopping
Starbucks croissant,Food
Train to city,Transport
Kroger groceries,Grocery
Gym protein shake,Fitness
Hulu subscription,Entertainment
McDonald's happy meal,Food
Electric bill,Utilities
Urban Outfitters shirt,Shopping
Domino's delivery,Food
Taxi to work,Transport
Walmart groceries and snacks,Grocery
Gym bottle refill,Fitness
Amazon Video rental,Entertainment
Burger King Whopper,Food
Monthly gas bill,Utilities
Target school supplies,Shopping
Breakfast bagel,Food
Rideshare to interview,Transport
Publix weekend shopping,Grocery
Personal trainer session,Fitness
Spotify family plan,Entertainment
Chipotle salad bowl,Food
Electricity usage fee,Utilities
Amazon headphones,Shopping
Dinner at TGI Fridays,Food
Gas top-up,Transport
Aldi fresh groceries,Grocery
Gym entrance fee,Fitness
Paramount+ trial,Entertainment
Panera coffee,Food
Water utility bill,Utilities
Forever 21 t-shirts,Shopping
Breakfast smoothie,Food
Bus fare to campus,Transport
Trader Joe's weekly run,Grocery
Gym mat rental,Fitness
Amazon movie night,Entertainment
Chick-fil-A sandwich,Food
Rent service charge,Utilities
Best Buy HDMI cable,Shopping
Taco Bell lunch box,Food
Lyft to hotel,Transport
Whole Foods pantry refill,Grocery
Dumbbell set,Shopping
HBO Now bill,Entertainment
Lunch at Subway,Food
Gas refill at Mobil,Transport
Monthly rent payment,Utilities
Amazon fashion top,Shopping
IHOP pancakes,Food
Train fare to NYC,Transport
Giant grocery store visit,Grocery
Monthly gym pass,Fitness
Netflix 4K plan,Entertainment
Domino's cheesy bread,Food
Verizon phone bill,Utilities
Uniqlo fall jacket,Shopping
Breakfast wrap,Food
Lyft to college,Transport
Walmart groceries bulk,Grocery
Treadmill session,Fitness
Hulu Plus bill,Entertainment
KFC bucket meal,Food
Utility adjustment fee,Utilities
Nordstrom socks,Shopping
Panera sandwich,Food
Taxi to mall,Transport
Costco monthly restock,Grocery
Weight bench,Fitness
Amazon TV series,Entertainment
McDonald's iced coffee,Food
Utility meter reading,Utilities
Old Navy fall wear,Shopping
Starbucks frappuccino,Food
Gas payment,Transport
Safeway vegetables,Grocery
Yoga drop-in,Fitness
Netflix streaming,Entertainment
Panda Express combo,Food
Monthly e
description,category
Lunch at Panera,Food
Lyft ride home,Transport
Trader Joe's fresh fruits,Grocery
Fitness class fee,Fitness
Disney+ monthly subscription,Entertainment
Pizza Hut dinner,Food
Gas station fill-up,Transport
Water bill monthly,Utilities
Gap jeans,Shopping
Starbucks morning coffee,Food
Taxi to airport,Transport
Costco groceries bulk,Grocery
Gym membership renewal,Fitness
Netflix streaming fee,Entertainment
McDonald's fries,Food
Electric bill payment,Utilities
H&M jacket,Shopping
Domino's pizza delivery,Food
Uber to work,Transport
Safeway weekly groceries,Grocery
Yoga studio drop-in,Fitness
Amazon Prime subscription,Entertainment
Burger King lunch deal,Food
Monthly gas payment,Utilities
Target household items,Shopping
Breakfast sandwich,Food
Bus fare daily,Transport
Whole Foods organic goods,Grocery
Workout gear,Fitness
Hulu subscription,Entertainment
Chipotle lunch,Food
Electricity bill,Utilities
Best Buy electronic accessories,Shopping
Dinner at Olive Garden,Food
Gas station quick stop,Transport
Aldi groceries weekly,Grocery
Gym towel purchase,Fitness
Paramount+ entertainment fee,Entertainment
Panera coffee and pastry,Food
Water service charge,Utilities
Forever 21 summer dress,Shopping
Breakfast smoothie bowl,Food
Train ticket to city,Transport
Trader Joe's produce,Grocery
Personal trainer session,Fitness
Amazon movie purchase,Entertainment
KFC chicken dinner,Food
Rent payment,Utilities
Urban Outfitters sweater,Shopping
Starbucks afternoon latte,Food
Lyft ride to event,Transport
Walmart groceries and snacks,Grocery
Dumbbells set purchase,Fitness
Netflix family plan,Entertainment
Taco Bell late-night snack,Food
Electric bill monthly,Utilities
Amazon fashion accessories,Shopping
IHOP breakfast,Food
Train fare weekend trip,Transport
Giant grocery shopping,Grocery
Fitness band purchase,Fitness
HBO Max subscription,Entertainment
McDonald's Big Mac meal,Food
Utility company charge,Utilities
Nordstrom shoes,Shopping
Panera bread bowl,Food
Taxi ride downtown,Transport
Costco bulk shopping,Grocery
Weightlifting gloves,Fitness
Amazon TV show purchase,Entertainment
McDonald's coffee,Food
Utility meter reading fee,Utilities
Old Navy sweater,Shopping
Starbucks venti coffee,Food
Gas station payment,Transport
Safeway grocery trip,Grocery
Yoga mat purchase,Fitness
Netflix movie rental,Entertainment
Panda Express lunch combo,Food
Electric bill fee,Utilities
Target clothing purchase,Shopping
Breakfast wrap,Food
Rideshare late night,Transport
Aldi grocery restock,Grocery
Gym day pass,Fitness
Amazon eBook purchase,Entertainment
Lunch burrito,Food
Utility service charge,Utilities
Best Buy computer accessories,Shopping
Dinner with friends,Food
Bus ticket to office,Transport
Whole Foods meal prep,Grocery
Workout leggings,Fitness
description,category
Lunch at Chipotle,Food
Uber ride downtown,Transport
Trader Joe’s organic veggies,Grocery
Gym membership monthly,Fitness
Disney+ streaming fee,Entertainment
Pizza Hut takeout,Food
Gas station fill-up,Transport
Water utility bill,Utilities
Gap t-shirt,Shopping
Starbucks morning espresso,Food
Taxi to airport,Transport
Costco groceries purchase,Grocery
Fitness class registration,Fitness
Netflix subscription renewal,Entertainment
McDonald’s fries and nuggets,Food
Electricity bill payment,Utilities
H&M winter coat,Shopping
Domino’s pizza delivery,Food
Uber to office,Transport
Safeway weekly groceries,Grocery
Yoga studio membership,Fitness
Amazon Prime monthly,Entertainment
Burger King combo meal,Food
Monthly gas bill,Utilities
Target household products,Shopping
Breakfast bagel and coffee,Food
Bus fare monthly pass,Transport
Whole Foods fresh produce,Grocery
Workout accessories,Fitness
Hulu monthly subscription,Entertainment
Chipotle burrito bowl,Food
Electric bill monthly fee,Utilities
Best Buy tech gadgets,Shopping
Dinner at Olive Garden,Food
Gas station quick fill-up,Transport
Aldi groceries restock,Grocery
Gym towel and accessories,Fitness
Paramount+ monthly fee,Entertainment
Panera Bread coffee and snack,Food
Water service bill,Utilities
Forever 21 summer collection,Shopping
Breakfast smoothie,Food
Train ticket to NYC,Transport
Trader Joe’s grocery haul,Grocery
Personal training session,Fitness
Amazon Video monthly,Entertainment
KFC family meal,Food
Rent payment monthly,Utilities
Urban Outfitters jacket,Shopping
Starbucks latte,Food
Lyft ride to mall,Transport
Walmart groceries weekly,Grocery
Dumbbell set purchase,Fitness
Netflix entertainment package,Entertainment
Taco Bell midnight snack,Food
Electricity bill charge,Utilities
Amazon fashion order,Shopping
IHOP breakfast meal,Food
Train fare weekend trip,Transport
Giant grocery shopping trip,Grocery
Fitness tracker purchase,Fitness
HBO Max subscription,Entertainment
McDonald’s coffee and fries,Food
Utility bill monthly,Utilities
Nordstrom shoes purchase,Shopping
Panera bread sandwich,Food
Taxi fare to airport,Transport
Costco bulk groceries,Grocery
Weight bench purchase,Fitness
Amazon movie download,Entertainment
McDonald’s iced coffee,Food
Utility meter reading,Utilities
Old Navy hoodie,Shopping
Starbucks coffee order,Food
Gas station payment,Transport
Safeway grocery trip,Grocery
Yoga mat and accessories,Fitness
Netflix movie rental,Entertainment
Panda Express dinner,Food
Electricity payment,Utilities
Target clothing purchase,Shopping
Breakfast sandwich,Food
Rideshare home,Transport
Aldi grocery restock,Grocery
Gym day pass fee,Fitness
Amazon eBook purchase,Entertainment
Lunch burrito bowl,Food
Utility service charge,Utilities
Best Buy computer accessories,Shopping
Dinner at restaurant,Food
Bus ticket daily,Transport
Whole Foods organic meal,Grocery
Workout clothes purchase,Fitness
description,category
Lunch at Panera Bread,Food
Lyft ride to work,Transport
Trader Joe’s weekly groceries,Grocery
Fitness class drop-in,Fitness
Disney+ monthly subscription,Entertainment
Pizza Hut family meal,Food
Gas station fill-up,Transport
Water bill monthly payment,Utilities
Gap jeans purchase,Shopping
Starbucks morning coffee,Food
Taxi ride downtown,Transport
Costco bulk groceries,Grocery
Gym membership fee,Fitness
Netflix subscription fee,Entertainment
McDonald’s fries and nuggets,Food
Electric bill monthly,Utilities
H&M jacket purchase,Shopping
Domino’s pizza order,Food
Uber ride to airport,Transport
Safeway groceries, Grocery
Yoga studio membership, Fitness
Amazon Prime subscription, Entertainment
Burger King lunch, Food
Monthly gas bill payment, Utilities
Target household supplies, Shopping
Breakfast sandwich, Food
Bus fare monthly, Transport
Whole Foods fresh produce, Grocery
Workout gear purchase, Fitness
Hulu monthly subscription, Entertainment
Chipotle lunch order, Food
Electric bill payment, Utilities
Best Buy electronic purchase, Shopping
Dinner at Olive Garden, Food
Gas station refuel, Transport
Aldi grocery shopping, Grocery
Gym towel purchase, Fitness
Paramount+ subscription, Entertainment
Panera coffee and pastry, Food
Water service bill, Utilities
Forever 21 clothing, Shopping
Breakfast smoothie, Food
Train ticket, Transport
Trader Joe’s grocery haul, Grocery
Personal training session, Fitness
Amazon movie purchase, Entertainment
KFC dinner, Food
Rent payment, Utilities
Urban Outfitters sweater, Shopping
Starbucks afternoon latte, Food
Lyft ride to mall, Transport
Walmart grocery shopping, Grocery
Dumbbells purchase, Fitness
Netflix family plan, Entertainment
Taco Bell late night snack, Food
Electricity bill, Utilities
Amazon fashion accessories, Shopping
IHOP breakfast, Food
Train fare weekend trip, Transport
Giant grocery store visit, Grocery
Fitness band purchase, Fitness
HBO Max subscription, Entertainment
McDonald’s Big Mac meal, Food
Utility company charge, Utilities
Nordstrom shoes purchase, Shopping
Panera sandwich, Food
Taxi ride downtown, Transport
Costco bulk shopping, Grocery
Weightlifting gloves, Fitness
Amazon TV show purchase, Entertainment
McDonald’s coffee, Food
Utility meter reading fee, Utilities
Old Navy sweater purchase, Shopping
Starbucks venti coffee, Food
Gas station payment, Transport
Safeway grocery trip, Grocery
Yoga mat purchase, Fitness
Netflix movie rental, Entertainment
Panda Express lunch combo, Food
Electric bill fee, Utilities
Target clothing purchase, Shopping
Breakfast wrap, Food
Rideshare late night ride, Transport
Aldi grocery restock, Grocery
Gym day pass, Fitness
Amazon eBook purchase, Entertainment
Lunch burrito, Food
Utility service charge, Utilities
Best Buy computer accessories, Shopping
Dinner with friends, Food
Bus ticket to office, Transport
Whole Foods meal prep, Grocery
Workout leggings, Fitness
description,category
Lunch at Chipotle,Food
Uber ride downtown,Transport
Trader Joe’s organic veggies,Grocery
Gym membership monthly,Fitness
Disney+ streaming fee,Entertainment
Pizza Hut takeout,Food
Gas station fill-up,Transport
Water utility bill,Utilities
Gap t-shirt,Shopping
Starbucks morning espresso,Food
Taxi to airport,Transport
Costco groceries purchase,Grocery
Fitness class registration,Fitness
Netflix subscription renewal,Entertainment
McDonald’s fries and nuggets,Food
Electricity bill payment,Utilities
H&M winter coat,Shopping
Domino’s pizza delivery,Food
Uber to office,Transport
Safeway weekly groceries,Grocery
Yoga studio membership,Fitness
Amazon Prime monthly,Entertainment
Burger King combo meal,Food
Monthly gas bill,Utilities
Target household products,Shopping
Breakfast bagel and coffee,Food
Bus fare monthly pass,Transport
Whole Foods fresh produce,Grocery
Workout accessories,Fitness
Hulu monthly subscription,Entertainment
Chipotle burrito bowl,Food
Electric bill monthly fee,Utilities
Best Buy tech gadgets,Shopping
Dinner at Olive Garden,Food
Gas station quick fill-up,Transport
Aldi groceries restock,Grocery
Gym towel and accessories,Fitness
Paramount+ monthly fee,Entertainment
Panera Bread coffee and snack,Food
Water service bill,Utilities
Forever 21 summer collection,Shopping
Breakfast smoothie,Food
Train ticket to NYC,Transport
Trader Joe’s grocery haul,Grocery
Personal training session,Fitness
Amazon Video monthly,Entertainment
KFC family meal,Food
Rent payment monthly,Utilities
Urban Outfitters jacket,Shopping
Starbucks latte,Food
Lyft ride to mall,Transport
Walmart groceries weekly,Grocery
Dumbbell set purchase,Fitness
Netflix entertainment package,Entertainment
Taco Bell midnight snack,Food
Electricity bill charge,Utilities
Amazon fashion order,Shopping
IHOP breakfast,Food
Train fare weekend trip,Transport
Giant grocery shopping trip,Grocery
Fitness tracker purchase,Fitness
HBO Max subscription,Entertainment
McDonald’s coffee and fries,Food
Utility bill monthly,Utilities
Nordstrom shoes purchase,Shopping
Panera bread sandwich,Food
Taxi fare to airport,Transport
Costco bulk groceries,Grocery
Weight bench purchase,Fitness
Amazon movie download,Entertainment
McDonald’s iced coffee,Food
Utility meter reading,Utilities
Old Navy hoodie,Shopping
Starbucks coffee order,Food
Gas station payment,Transport
Safeway grocery trip,Grocery
Yoga mat and accessories,Fitness
Netflix movie rental,Entertainment
Panda Express dinner,Food
Electricity payment,Utilities
Target clothing purchase,Shopping
Breakfast wrap,Food
Rideshare home,Transport
Aldi grocery restock,Grocery
Gym day pass fee,Fitness
Amazon eBook purchase,Entertainment
Lunch burrito bowl,Food
Utility service charge,Utilities
Best Buy computer accessories,Shopping
Dinner at restaurant,Food
Bus ticket daily,Transport
Whole Foods organic meal,Grocery
Workout clothes purchase,Fitness
description,category
Lunch at Panera,Food
Lyft ride home,Transport
Trader Joe's fresh fruits,Grocery
Fitness class fee,Fitness
Disney+ monthly subscription,Entertainment
Pizza Hut dinner,Food
Gas station fill-up,Transport
Water bill monthly,Utilities
Gap jeans,Shopping
Starbucks morning espresso,Food
Taxi to airport,Transport
Costco groceries bulk,Grocery
Gym membership renewal,Fitness
Netflix streaming fee,Entertainment
McDonald's fries,Food
Electric bill payment,Utilities
H&M jacket,Shopping
Domino's pizza delivery,Food
Uber to work,Transport
Safeway weekly groceries,Grocery
Yoga studio drop-in,Fitness
Amazon Prime subscription,Entertainment
Burger King lunch deal,Food
Monthly gas payment,Utilities
Target household items,Shopping
Breakfast bagel,Food
Bus fare daily,Transport
Whole Foods organic goods,Grocery
Workout gear,Fitness
Hulu subscription,Entertainment
Chipotle lunch,Food
Electricity bill,Utilities
Best Buy tech gadgets,Shopping
Dinner at Olive Garden,Food
Gas station quick stop,Transport
Aldi groceries weekly,Grocery
Gym towel and accessories,Fitness
Paramount+ entertainment fee,Entertainment
Panera Bread coffee and snack,Food
Water service bill,Utilities
Forever 21 summer collection,Shopping
Breakfast smoothie,Food
Train ticket to city,Transport
Trader Joe's grocery haul,Grocery
Personal trainer session,Fitness
Amazon Video monthly,Entertainment
KFC family meal,Food
Rent payment,Utilities
Urban Outfitters jacket,Shopping
Starbucks latte,Food
Lyft ride to mall,Transport
Walmart groceries and snacks,Grocery
Dumbbell set purchase,Fitness
